"Click Id","Subs Date","Unsubs Date"
14061608,"2024-03-08 22:15:27","2024-03-08 22:16:25"
21961708,"2024-03-08 23:21:08","2024-03-08 23:26:50"
39691708,"2024-03-08 23:38:09","2024-03-08 23:40:39"
47571708,"2024-03-08 23:46:07","2024-03-08 23:48:48"
34841808,"2024-03-09 00:31:23","2024-03-09 00:32:16"
36931808,"2024-03-09 00:32:45","2024-03-09 00:57:20"
11241908,"2024-03-09 01:14:26","2024-03-09 01:22:22"
19841908,"2024-03-09 02:33:13","2024-03-09 03:27:58"
17690109,"2024-03-09 07:46:20","2024-03-09 23:58:37"
21800209,"2024-03-09 08:49:33","2024-03-09 16:39:13"
12920309,"2024-03-09 09:23:44","2024-03-09 10:14:48"
19950609,"2024-03-09 12:36:05","2024-03-09 12:42:29"
26790609,"2024-03-09 12:47:11","2024-03-09 12:49:04"
28190609,"2024-03-09 12:50:38","2024-03-09 12:52:19"
21770709,"2024-03-09 13:35:13","2024-03-09 13:35:52"
35430809,"2024-03-09 15:00:54","2024-03-09 15:02:09"
28520909,"2024-03-09 15:44:56","2024-03-09 15:48:17"
1661109,"2024-03-09 17:03:38","2024-03-09 17:04:46"
17771109,"2024-03-09 17:36:05","2024-03-09 17:37:12"
671209,"2024-03-09 18:01:59","2024-03-09 18:03:31"
341309,"2024-03-09 19:01:15","2024-03-09 19:08:44"
9161309,"2024-03-09 19:15:08","2024-03-09 19:16:32"
15081309,"2024-03-09 19:25:15","2024-03-09 19:26:23"
16791309,"2024-03-09 19:27:55","2024-03-09 19:29:55"
22001309,"2024-03-09 19:36:16","2024-03-09 19:38:15"
30471309,"2024-03-09 19:49:07","2024-03-09 19:50:59"
3191409,"2024-03-09 20:05:21","2024-03-09 20:11:54"
12431409,"2024-03-09 20:19:31","2024-03-09 20:22:27"
22661409,"2024-03-09 20:34:20","2024-03-09 20:35:37"
28191409,"2024-03-09 20:42:22","2024-03-09 20:48:16"
28711409,"2024-03-09 20:43:12","2024-03-09 20:45:21"
30021409,"2024-03-09 20:45:11","2024-03-09 20:52:40"
861509,"2024-03-09 21:02:28","2024-03-09 21:06:05"
8501509,"2024-03-09 21:12:37","2024-03-09 21:14:22"
9271509,"2024-03-09 21:13:32","2024-03-09 21:14:17"
14111509,"2024-03-09 21:20:15","2024-03-09 21:30:35"
18291509,"2024-03-09 21:26:58","2024-03-09 21:40:25"
25131509,"2024-03-09 21:35:53","2024-03-09 21:38:27"
7481609,"2024-03-09 22:10:09","2024-03-09 22:11:34"
11631609,"2024-03-09 22:14:28","2024-03-09 22:22:10"
19031609,"2024-03-09 22:28:13","2024-03-09 22:32:36"
29591709,"2024-03-09 23:32:16","2024-03-09 23:37:34"
57611809,"2024-03-10 00:53:14","2024-03-10 00:57:24"
15901909,"2024-03-11 07:58:08","2024-03-11 07:59:22"
31411909,"2024-03-10 01:45:13","2024-03-10 01:46:38"
24480210,"2024-03-10 08:55:11","2024-03-10 08:56:24"
22500310,"2024-03-10 09:48:12","2024-03-10 09:50:14"
7180410,"2024-03-10 10:16:47","2024-03-10 10:33:59"
7890410,"2024-03-10 10:18:47","2024-03-10 10:21:16"
26830410,"2024-03-10 10:54:16","2024-03-10 10:56:59"
1100610,"2024-03-10 12:03:20","2024-03-10 12:08:09"
13440610,"2024-03-10 12:29:37","2024-03-10 14:24:34"
21890610,"2024-03-10 12:46:40","2024-03-10 12:48:03"
29580810,"2024-03-10 14:58:04","2024-03-10 15:00:04"
25611110,"2024-03-10 17:53:02","2024-03-10 17:54:17"
9611210,"2024-03-11 00:08:14","2024-03-11 00:18:05"
2281310,"2024-03-10 19:04:47","2024-03-10 19:05:34"
10121310,"2024-03-10 19:22:25","2024-03-10 19:23:08"
11091310,"2024-03-10 19:25:18","2024-03-10 19:29:19"
13211310,"2024-03-10 19:28:14","2024-03-10 19:31:47"
26021410,"2024-03-10 20:40:28","2024-03-10 20:41:51"
37111410,"2024-03-10 20:57:21","2024-03-10 21:00:59"
28341510,"2024-03-10 21:39:08","2024-03-10 21:40:41"
37961510,"2024-03-10 21:51:41","2024-03-10 21:52:59"
32781610,"2024-03-10 22:36:21","2024-03-10 22:39:51"
56711710,"2024-03-10 23:43:30","2024-03-10 23:46:20"
23311810,"2024-03-11 00:17:56","2024-03-11 00:19:16"
3241910,"2024-03-11 01:04:00","2024-03-11 01:36:17"
12742010,"2024-03-11 02:25:12","2024-03-11 02:26:10"
8022110,"2024-03-11 03:25:05","2024-03-11 03:25:55"
7932110,"2024-03-11 03:25:06","2024-03-11 04:05:58"
942210,"2024-03-11 04:04:04","2024-03-11 04:04:31"
25750211,"2024-03-11 08:51:45","2024-03-11 10:44:33"
1450311,"2024-03-11 09:03:25","2024-03-11 09:11:05"
7220311,"2024-03-11 09:14:19","2024-03-11 09:14:57"
22180311,"2024-03-11 09:39:06","2024-03-11 09:55:34"
28080311,"2024-03-11 09:46:41","2024-03-11 09:48:22"
18330511,"2024-03-11 11:32:01","2024-03-11 11:33:13"
21550711,"2024-03-11 13:43:29","2024-03-11 13:45:59"
10210811,"2024-03-11 14:19:21","2024-03-11 14:20:49"
33451111,"2024-03-11 18:00:41","2024-03-11 18:10:08"
931211,"2024-03-11 18:02:28","2024-03-11 18:05:13"
2361211,"2024-03-11 18:06:13","2024-03-11 18:09:48"
28251311,"2024-03-29 09:14:57","2024-03-29 09:19:37"
17661711,"2024-03-11 23:18:08","2024-03-11 23:35:06"
43821711,"2024-03-11 23:44:01","2024-03-11 23:46:04"
100212,"2024-03-12 08:01:02","2024-03-12 08:04:52"
11590212,"2024-03-12 08:45:29","2024-03-12 08:51:52"
660512,"2024-03-12 11:01:13","2024-03-12 11:24:44"
2320512,"2024-03-12 11:05:12","2024-03-12 11:07:44"
21530512,"2024-03-12 11:53:18","2024-03-12 11:55:35"
19330812,"2024-03-12 14:38:16","2024-03-12 14:42:23"
1541012,"2024-03-12 16:03:24","2024-03-12 16:04:58"
2821012,"2024-03-12 16:05:33","2024-03-12 16:06:22"
